"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Households living below the federal poverty level","2018","Massachusetts","25","106,873","6.5"
"Uninsured","2019","Massachusetts","25","204,079","3.0"
"Households living below the federal poverty level","2019","Massachusetts","25","99,900","6.0"
"Uninsured","2020 (COVID-19 Pandemic)","Massachusetts","25","180,330","2.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Massachusetts","25","101,186","6.1"
"Uninsured","2021","Massachusetts","25","172,655","2.5"
"Households living below the federal poverty level","2021","Massachusetts","25","122,086","7.1"
"Uninsured","2022","Massachusetts","25","167,659","2.4"
"Households living below the federal poverty level","2022","Massachusetts","25","118,980","6.9"
"Uninsured","2017","Michigan","26","509,539","5.2"
"Households living below the federal poverty level","2017","Michigan","26","244,246","9.7"
"Uninsured","2018","Michigan","26","534,551","5.4"
"Households living below the federal poverty level","2018","Michigan","26","239,400","9.5"
"Uninsured","2019","Michigan","26","571,140","5.8"
"Households living below the federal poverty level","2019","Michigan","26","219,696","8.8"
"Uninsured","2020 (COVID-19 Pandemic)","Michigan","26","519,756","5.3"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Michigan","26","205,184","8.2"
"Uninsured","2021","Michigan","26","495,404","5.0"
"Households living below the federal poverty level","2021","Michigan","26","229,458","9.0"
"Uninsured","2022","Michigan","26","451,480","4.5"
"Households living below the federal poverty level","2022","Michigan","26","231,918","9.1"
"Uninsured","2017","Minnesota","27","242,509","4.4"
"Households living below the federal poverty level","2017","Minnesota","27","80,547","5.8"
"Uninsured","2018","Minnesota","27","244,379","4.4"
"Households living below the federal poverty level","2018","Minnesota","27","79,619","5.7"
"Uninsured","2019","Minnesota","27","272,612","4.9"
"Households living below the federal poverty level","2019","Minnesota","27","72,884","5.2"
"Uninsured","2020 (COVID-19 Pandemic)","Minnesota","27","277,028","4.9"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Minnesota","27","68,289","4.9"
"Uninsured","2021","Minnesota","27","251,824","4.5"
"Households living below the federal poverty level","2021","Minnesota","27","78,497","5.5"
"Uninsured","2022","Minnesota","27","254,423","4.5"
"Households living below the federal poverty level","2022","Minnesota","27","87,378","6.0"
"Uninsured","2017","Mississippi","28","351,754","12.0"
"Households living below the federal poverty level","2017","Mississippi","28","106,751","14.9"
"Uninsured","2018","Mississippi","28","354,151","12.1"
"Households living below the federal poverty level","2018","Mississippi","28","109,192","15.0"
"Uninsured","2019","Mississippi","28","376,872","13.0"
"Households living below the federal poverty level","2019","Mississippi","28","106,321","14.8"
"Uninsured","2020 (COVID-19 Pandemic)","Mississippi","28","338,827","11.7"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Mississippi","28","103,210","14.2"
"Uninsured","2021","Mississippi","28","343,002","11.9"
"Households living below the federal poverty level","2021","Mississippi","28","106,970","14.4"
"Uninsured","2022","Mississippi","28","311,574","10.8"
"Households living below the federal poverty level","2022","Mississippi","28","107,105","14.2"
"Uninsured","2017","Missouri","29","548,271","9.1"
"Households living below the federal poverty level","2017","Missouri","29","140,508","9.2"
"Uninsured","2018","Missouri","29","566,327","9.4"
"Households living below the federal poverty level","2018","Missouri","29","139,579","9.0"
"Uninsured","2019","Missouri","29","603,702","10.0"
"Households living below the federal poverty level","2019","Missouri","29","136,052","8.8"
"Uninsured","2020 (COVID-19 Pandemic)","Missouri","29","609,328","10.1"
