"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"HIV viral suppression","2020 (COVID-19 Pandemic)","Alaska","02","550","NA","78.5"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Alaska","02","719","NA","79.4 (64.0 - 100.0, 11.6)"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Alaska","02","28","NA","96.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alaska","02","240","NA","13.5"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Alaska","02","611","NA","87.2"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Arizona","04","12,624","NA","74.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arizona","04","5,068","NA","19.7"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Arizona","04","17,399","NA","82.1 (78.2 - 86.5, 2.6)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Arizona","04","11,242","NA","65.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arizona","04","17,524","289.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Arizona","04","21,200 (20,100 - 22,200, 2.5)","349.5 (332.1 - 367.0)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Arizona","04","780 (340 - 1,200, 28.8)","12.8 (5.6 - 20.0)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arizona","04","7,982","131.7","NA"
"Receipt of HIV medical care","2021","Arizona","04","12,733","NA","72.8"
"Estimated HIV incidence","2021","Arizona","04","800 (310 - 1,300, 30.9*)","13.0 (5.1 - 20.9)","NA"
"AIDS prevalence","2021","Arizona","04","8,110","131.7","NA"
"Receipt of HIV medical care","2022","Arizona","04","12,959","NA","72.5"
"PrEP coverage and number of persons prescribed","2022","Arizona","04","8,316","NA","32.3"
"Knowledge of Status","2022","Arizona","04","18,510","NA","83.2 (78.6 - 88.2, 2.9)"
"HIV viral suppression","2022","Arizona","04","10,624","NA","59.4"
"HIV prevalence","2022","Arizona","04","18,641","297.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Arizona","04","22,300 (21,000 - 23,500, 2.9)","355.8 (335.3 - 376.3)","NA"
"Estimated HIV incidence","2022","Arizona","04","710 (180 - 1,200, 38.1*)","11.3 (2.8 - 19.7)","NA"
"AIDS prevalence","2022","Arizona","04","8,213","131.2","NA"
"AIDS classifications","2022","Arizona","04","346","5.5","NA"
"AIDS deaths","2022","Arizona","04","249","4.0","NA"
"HIV deaths","2022","Arizona","04","348","5.6","NA"
"HIV diagnoses","2022","Arizona","04","851","13.6","NA"
"Linkage to HIV medical care","2022","Arizona","04","722","NA","84.0"
"AIDS classifications","2020 (COVID-19 Pandemic)","Arizona","04","258","4.3","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arizona","04","204","3.4","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Arizona","04","287","4.7","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arizona","04","648","10.7","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Arizona","04","561","NA","84.7"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Arkansas","05","3,783","NA","65.0"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Arkansas","05","5,920","NA","82.3 (76.2 - 89.4, 4.1)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Arkansas","05","2,885","NA","49.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","5,956","236.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Arkansas","05","7,200 (6,600 - 7,800, 4.1)","285.4 (262.7 - 308.1)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Arkansas","05","290 (120 - 470, 30.8*)","11.5 (4.6 - 18.5)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","2,669","106.2","NA"
"Receipt of HIV medical care","2022","Arkansas","05","4,228","NA","69.8"
"PrEP coverage and number of persons prescribed","2022","Arkansas","05","1,675","NA","32.7"
"Knowledge of Status","2022","Arkansas","05","6,312","NA","81.7 (75.2 - 89.4, 4.4)"
"HIV viral suppression","2022","Arkansas","05","3,810","NA","62.9"
"HIV prevalence","2022","Arkansas","05","6,343","248.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Arkansas","05","7,700 (7,100 - 8,400, 4.4)","302.3 (276.2 - 328.3)","NA"
"Estimated HIV incidence","2022","Arkansas","05","400 (130 - 670, 34.7*)","15.5 (5.0 - 26.1)","NA"
"AIDS prevalence","2022","Arkansas","05","2,737","107.3","NA"
"AIDS classifications","2022","Arkansas","05","94","3.7","NA"
"AIDS deaths","2022","Arkansas","05","72","2.8","NA"
"HIV deaths","2022","Arkansas","05","112","4.4","NA"
"HIV diagnoses","2022","Arkansas","05","306","12.0","NA"
"Linkage to HIV medical care","2022","Arkansas","05","247","NA","81.0"
"AIDS classifications","2020 (COVID-19 Pandemic)","Arkansas","05","115","4.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arkansas","05","81","3.2","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Arkansas","05","115","4.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arkansas","05","244","9.7","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Arkansas","05","193","NA","79.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arkansas","05","867","NA","16.9"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","California","06","95,969","NA","73.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","California","06","42,274","NA","25.6"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","California","06","3,269","NA","83.3"
"Knowledge of Status","2020 (COVID-19 Pandemic)","California","06","133,454","NA","86.7 (85.2 - 88.3, 0.9)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","California","06","85,115","NA","65.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","California","06","134,097","403.9","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","California","06","4,138","12.5","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","California","06","2,013","6.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","California","06","153,900 (151,200 - 156,700, 0.9)","462.8 (454.6 - 471.0)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","California","06","4,400 (3,700 - 5,100, 8.0)","13.3 (11.2 - 15.4)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","California","06","69,214","208.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","California","06","1,594","4.8","NA"
"AIDS classifications","2020 (COVID-19 Pandemic)","California","06","1,750","5.3","NA"
"Receipt of HIV medical care","2022","California","06","100,100","NA","74.9"
"PrEP coverage and number of persons prescribed","2022","California","06","61,509","NA","37.3"
"Linkage to HIV medical care","2022","California","06","3,986","NA","82.1"
"Knowledge of Status","2022","California","06","137,764","NA","87.4 (85.8 - 89.1, 1.0)"
"HIV viral suppression","2022","California","06","89,165","NA","66.7"
"HIV prevalence","2022","California","06","138,534","419.2","NA"
"HIV diagnoses","2022","California","06","4,899","14.8","NA"
"HIV deaths","2022","California","06","2,156","6.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","California","06","157,600 (154,700 - 160,600, 1.0)","476.4 (467.4 - 485.4)","NA"
"Estimated HIV incidence","2022","California","06","4,100 (3,300 - 5,000, 10.5)","12.5 (9.9 - 15.1)","NA"
"AIDS prevalence","2022","California","06","69,190","209.4","NA"
"AIDS deaths","2022","California","06","1,649","5.0","NA"
"AIDS classifications","2022","California","06","1,896","5.7","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Colorado","08","8,430","NA","65.2"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Colorado","08","4,815","NA","19.2"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Colorado","08","12,973","NA","87.0 (82.7 - 91.8, 2.6)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Colorado","08","7,512","NA","58.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","Colorado","08","12,965","264.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Colorado","08","14,900 (14,100 - 15,700, 2.6)","303.6 (287.9 - 319.4)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Colorado","08","380 (170 - 580, 27.5)","7.7 (3.5 - 11.8)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Colorado","08","5,483","111.9","NA"
"Receipt of HIV medical care","2022","Colorado","08","8,799","NA","66.2"
"PrEP coverage and number of persons prescribed","2022","Colorado","08","7,611","NA","30.3"
"Knowledge of Status","2022","Colorado","08","13,591","NA","86.8 (82.2 - 91.8, 2.8)"
"HIV viral suppression","2022","Colorado","08","7,375","NA","55.5"
"HIV prevalence","2022","Colorado","08","13,610","273.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Colorado","08","15,700 (14,800 - 16,500, 2.8)","313.8 (296.5 - 331.0)","NA"
"Estimated HIV incidence","2022","Colorado","08","470 (190 - 760, 30.9*)","9.4 (3.7 - 15.1)","NA"
"AIDS prevalence","2022","Colorado","08","5,618","112.7","NA"
"AIDS classifications","2022","Colorado","08","253","5.1","NA"
"AIDS deaths","2022","Colorado","08","133","2.7","NA"
"HIV deaths","2022","Colorado","08","182","3.7","NA"
"HIV diagnoses","2022","Colorado","08","444","8.9","NA"
"Linkage to HIV medical care","2022","Colorado","08","365","NA","84.3"
"AIDS classifications","2020 (COVID-19 Pandemic)","Colorado","08","150","3.1","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Colorado","08","119","2.4","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Colorado","08","176","3.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Colorado","08","324","6.6","NA"
"Linkage to HIV medical care","2020 (COVID-19 Pandemic)","Colorado","08","284","NA","87.7"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Connecticut","09","8,074","NA","77.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Connecticut","09","2,474","NA","25.9"
"Knowledge of Status","2020 (COVID-19 Pandemic)","Connecticut","09","10,346","NA","92.2 (86.7 - 98.6, 3.3)"
"HIV viral suppression","2020 (COVID-19 Pandemic)","Connecticut","09","7,418","NA","71.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Connecticut","09","10,485","341.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2020 (COVID-19 Pandemic)","Connecticut","09","11,200 (10,500 - 11,900, 3.3)","363.3 (339.9 - 386.6)","NA"
"Estimated HIV incidence","2020 (COVID-19 Pandemic)","Connecticut","09","200 (50 - 350, 38.0*)","6.4 (1.6 - 11.2)","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Connecticut","09","6,246","203.4","NA"
"Receipt of HIV medical care","2022","Connecticut","09","8,067","NA","77.5"
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","4,001","NA","41.9"
"Knowledge of Status","2022","Connecticut","09","10,460","NA","92.7 (86.9 - 99.4, 3.4)"
"HIV viral suppression","2022","Connecticut","09","5,607","NA","53.8"
"HIV prevalence","2022","Connecticut","09","10,620","341.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Connecticut","09","11,300 (10,500 - 12,000, 3.4)","361.0 (336.8 - 385.2)","NA"
"Estimated HIV incidence","2022","Connecticut","09","210 (40 - 380, 41.5*)","6.7 (1.2 - 12.1)","NA"
"AIDS prevalence","2022","Connecticut","09","6,095","196.1","NA"
"AIDS classifications","2022","Connecticut","09","111","3.6","NA"
"AIDS deaths","2022","Connecticut","09","197","6.3","NA"
"HIV deaths","2022","Connecticut","09","242","7.8","NA"
"HIV diagnoses","2022","Connecticut","09","223","7.2","NA"
"Linkage to HIV medical care","2022","Connecticut","09","186","NA","84.5"
"Receipt of HIV medical care","2021","Delaware","10","2,822","NA","82.1"
"Receipt of HIV medical care","2022","Delaware","10","2,904","NA","82.7"
"Knowledge of Status","2022","Delaware","10","3,597","NA","87.2 (78.3 - 98.3, 5.8)"
"HIV viral suppression","2022","Delaware","10","2,631","NA","74.9"
"HIV prevalence","2022","Delaware","10","3,618","415.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Delaware","10","4,100 (3,700 - 4,600, 5.8)","473.1 (419.5 - 526.6)","NA"
"AIDS prevalence","2022","Delaware","10","2,098","240.9","NA"
"AIDS classifications","2022","Delaware","10","60","6.9","NA"
"AIDS deaths","2022","Delaware","10","67","7.7","NA"
"Estimated HIV incidence","2022","Delaware","10","Data not available","Data not available","NA"
"HIV deaths","2022","Delaware","10","80","9.2","NA"
"HIV diagnoses","2022","Delaware","10","126","14.5","NA"
"Linkage to HIV medical care","2022","Delaware","10","105","NA","82.0"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","852","NA","19.4"
"Receipt of HIV medical care","2022","District of Columbia","11","9,076","NA","68.0"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","7,746","NA","59.8"
"Knowledge of Status","2022","District of Columbia","11","13,435","NA","94.9 (89.4 - 100.0, 2.8)"
"HIV viral suppression","2022","District of Columbia","11","7,680","NA","57.6"
"HIV prevalence","2022","District of Columbia","11","13,416","2338.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","District of Columbia","11","14,200 (13,400 - 15,000, 3.1)","2460.0 (2333.6 - 2609.1)","NA"
"Estimated HIV incidence","2022","District of Columbia","11","140 (10 - 270, 47.2*)","24.5 (1.8 - 47.1)","NA"
"AIDS prevalence","2022","District of Columbia","11","6,952","1211.6","NA"
"AIDS classifications","2022","District of Columbia","11","117","20.4","NA"
"AIDS deaths","2022","District of Columbia","11","169","29.5","NA"
"HIV deaths","2022","District of Columbia","11","233","40.6","NA"
"HIV diagnoses","2022","District of Columbia","11","214","37.3","NA"
"Linkage to HIV medical care","2022","District of Columbia","11","182","NA","86.3"
"Receipt of HIV medical care","2022","West Virginia","54","1,473","NA","68.1"
"Linkage to HIV medical care","2022","West Virginia","54","85","NA","62.5"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","906","NA","17.3"
"HIV prevalence","2022","West Virginia^","54","2,226","145.7","NA"
"AIDS prevalence","2022","West Virginia^","54","1,063","69.6","NA"
"AIDS deaths","2022","West Virginia^","54","53","3.5","NA"
"HIV deaths","2022","West Virginia^","54","72","4.7","NA"
"Receipt of HIV medical care","2022","Wisconsin","55","5,516","NA","82.9"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","3,348","NA","25.8"
"Knowledge of Status","2022","Wisconsin","55","6,860","NA","86.2 (79.7 - 93.8, 4.2)"
"HIV viral suppression","2022","Wisconsin","55","5,126","NA","77.0"
"HIV prevalence","2022","Wisconsin","55","6,922","138.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Wisconsin","55","8,000 (7,300 - 8,600, 4.1)","158.3 (145.4 - 171.2)","NA"
"Estimated HIV incidence","2022","Wisconsin","55","230 (20 - 440, 46.0*)","4.6 (0.5 - 8.8)","NA"
"AIDS prevalence","2022","Wisconsin","55","3,095","61.7","NA"
"AIDS classifications","2022","Wisconsin","55","100","2.0","NA"
"AIDS deaths","2022","Wisconsin","55","101","2.0","NA"
"HIV deaths","2022","Wisconsin","55","139","2.8","NA"
"HIV diagnoses","2022","Wisconsin","55","291","5.8","NA"
"Linkage to HIV medical care","2022","Wisconsin","55","263","NA","90.4"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Wyoming","56","440 (370 - 580, 17.3)","88.5 (75.9 - 118.5)","NA"
"AIDS classifications","2022","Wyoming","56","6","1.2","NA"
"AIDS deaths","2022","Wyoming","56","3","0.6","NA"
"AIDS prevalence","2022","Wyoming","56","188","38.3","NA"
"Estimated HIV incidence","2022","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2022","Wyoming","56","5","1.0","NA"
"HIV diagnoses","2022","Wyoming","56","14","2.8","NA"
"HIV prevalence","2022","Wyoming","56","378","76.9","NA"
"HIV viral suppression","2022","Wyoming","56","253","NA","69.3"
"Knowledge of Status","2022","Wyoming","56","373","NA","85.7 (64.0 - 100.0, 10.7)"
"Linkage to HIV medical care","2022","Wyoming","56","12","NA","92.3"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","183","NA","20.6"
"Receipt of HIV medical care","2022","Wyoming","56","306","NA","83.8"
"AIDS classifications","2021","Alabama","01","267","6.3","NA"
"AIDS deaths","2021","Alabama","01","250","5.9","NA"
"HIV deaths","2021","Alabama","01","357","8.4","NA"
"HIV diagnoses","2021","Alabama","01","655","15.4","NA"
"Linkage to HIV medical care","2021","Alabama","01","502","NA","80.3"
"AIDS classifications","2021","Alaska","02","17","2.8","NA"
"AIDS deaths","2021","Alaska","02","17","2.8","NA"
"AIDS prevalence","2021","Alaska","02","367","60.6","NA"
"Estimated HIV incidence","2021","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2021","Alaska","02","20","3.3","NA"
"HIV diagnoses","2021","Alaska","02","30","5.0","NA"
"HIV prevalence","2021","Alaska","02","750","123.9","NA"
"HIV viral suppression","2021","Alaska","02","572","NA","79.7"
"Knowledge of Status","2021","Alaska","02","744","NA","80.8 (64.5 - 100.0, 11.2)"
"Linkage to HIV medical care","2021","Alaska","02","28","NA","93.3"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","304","NA","17.1"
"Receipt of HIV medical care","2021","Alaska","02","631","NA","87.9"
"PrEP coverage and number of persons prescribed","2021","Arizona","04","6,582","NA","25.5"
"Knowledge of Status","2021","Arizona","04","17,961","NA","82.5 (78.3 - 87.1, 2.7)"
"HIV viral suppression","2021","Arizona","04","10,955","NA","62.6"
"HIV prevalence","2021","Arizona","04","18,102","293.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Arizona","04","21,800 (20,600 - 22,900, 2.7)","353.7 (334.8 - 372.6)","NA"
"AIDS classifications","2021","Arizona","04","295","4.8","NA"
"AIDS deaths","2021","Arizona","04","264","4.3","NA"
"HIV deaths","2021","Arizona","04","352","5.7","NA"
"HIV diagnoses","2021","Arizona","04","773","12.5","NA"
"Linkage to HIV medical care","2021","Arizona","04","661","NA","84.6"
"Receipt of HIV medical care","2021","Arkansas","05","3,953","NA","67.0"
"PrEP coverage and number of persons prescribed","2021","Arkansas","05","1,271","NA","24.8"
"Knowledge of Status","2021","Arkansas","05","6,137","NA","82.4 (76.2 - 89.7, 4.2)"
"HIV viral suppression","2021","Arkansas","05","3,097","NA","52.5"
"HIV prevalence","2021","Arkansas","05","6,177","243.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Arkansas","05","7,400 (6,800 - 8,100, 4.2)","293.3 (269.4 - 317.2)","NA"
"Estimated HIV incidence","2021","Arkansas","05","330 (140 - 530, 29.9)","13.2 (5.4 - 20.9)","NA"
"AIDS prevalence","2021","Arkansas","05","2,712","107.1","NA"
"AIDS classifications","2021","Arkansas","05","139","5.5","NA"
"AIDS deaths","2021","Arkansas","05","96","3.8","NA"
"HIV deaths","2021","Arkansas","05","130","5.1","NA"
"HIV diagnoses","2021","Arkansas","05","335","13.2","NA"
"Linkage to HIV medical care","2021","Arkansas","05","261","NA","77.2"
"Receipt of HIV medical care","2021","California","06","98,344","NA","74.7"
"PrEP coverage and number of persons prescribed","2021","California","06","50,217","NA","30.4"
"Linkage to HIV medical care","2021","California","06","3,628","NA","82.5"
"Knowledge of Status","2021","California","06","135,387","NA","87.1 (85.5 - 88.7, 0.9)"
"HIV viral suppression","2021","California","06","87,675","NA","66.6"
"HIV prevalence","2021","California","06","136,102","412.2","NA"
"HIV diagnoses","2021","California","06","4,583","13.9","NA"
"HIV deaths","2021","California","06","2,216","6.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","California","06","155,400 (152,600 - 158,300, 0.9)","469.9 (461.3 - 478.5)","NA"
"Estimated HIV incidence","2021","California","06","4,100 (3,300 - 4,800, 9.5)","12.3 (10.1 - 14.6)","NA"
"AIDS prevalence","2021","California","06","69,165","209.5","NA"
"AIDS deaths","2021","California","06","1,683","5.1","NA"
"AIDS classifications","2021","California","06","1,896","5.7","NA"
"Receipt of HIV medical care","2021","Colorado","08","8,584","NA","65.9"
"PrEP coverage and number of persons prescribed","2021","Colorado","08","6,200","NA","24.7"
"Knowledge of Status","2021","Colorado","08","13,263","NA","86.9 (82.5 - 91.8, 2.7)"
"HIV viral suppression","2021","Colorado","08","7,890","NA","60.6"
"HIV prevalence","2021","Colorado","08","13,265","268.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Colorado","08","15,300 (14,500 - 16,100, 2.7)","308.3 (291.9 - 324.6)","NA"
"Estimated HIV incidence","2021","Colorado","08","460 (210 - 700, 26.9)","9.2 (4.3 - 14.1)","NA"
"AIDS prevalence","2021","Colorado","08","5,472","110.7","NA"
"AIDS classifications","2021","Colorado","08","152","3.1","NA"
"AIDS deaths","2021","Colorado","08","148","3.0","NA"
"HIV deaths","2021","Colorado","08","188","3.8","NA"
"HIV diagnoses","2021","Colorado","08","405","8.2","NA"
"Linkage to HIV medical care","2021","Colorado","08","343","NA","84.5"
"Receipt of HIV medical care","2021","Connecticut","09","8,270","NA","79.5"
"PrEP coverage and number of persons prescribed","2021","Connecticut","09","3,048","NA","31.9"
"Knowledge of Status","2021","Connecticut","09","10,401","NA","92.8 (87.1 - 99.3, 3.4)"
"HIV viral suppression","2021","Connecticut","09","7,484","NA","71.9"
"HIV prevalence","2021","Connecticut","09","10,535","339.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2021","Connecticut","09","11,200 (10,500 - 11,900, 3.3)","359.3 (335.7 - 382.8)","NA"
"Estimated HIV incidence","2021","Connecticut","09","150 (10 - 290, 47.3*)","4.8 (0.3 - 9.2)","NA"
"AIDS prevalence","2021","Connecticut","09","6,190","199.5","NA"
"Receipt of HIV medical care","2022","Pennsylvania","42","25,975","NA","72.0"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","16,071","NA","44.0"
"Linkage to HIV medical care","2022","Pennsylvania","42","788","NA","82.6"
"Receipt of HIV medical care","2022","Rhode Island","44","2,108","NA","78.7"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","1,831","NA","47.2"
"Knowledge of Status","2022","Rhode Island","44","2,705","NA","92.1 (82.2 - 100.0, 4.9)"
"HIV viral suppression","2022","Rhode Island","44","1,961","NA","73.2"
"HIV prevalence","2022","Rhode Island","44","2,751","289.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","Rhode Island","44","2,900 (2,700 - 3,300, 6.1)","308.9 (284.4 - 345.9)","NA"
"AIDS prevalence","2022","Rhode Island","44","1,381","145.3","NA"
"AIDS classifications","2022","Rhode Island","44","25","2.6","NA"
"AIDS deaths","2022","Rhode Island","44","26","2.7","NA"
"Estimated HIV incidence","2022","Rhode Island","44","Data not available","Data not available","NA"
"HIV deaths","2022","Rhode Island","44","35","3.7","NA"
"HIV diagnoses","2022","Rhode Island","44","70","7.4","NA"
"Linkage to HIV medical care","2022","Rhode Island","44","62","NA","91.2"
"Receipt of HIV medical care","2022","South Carolina","45","14,273","NA","80.4"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","3,649","NA","35.1"
"Knowledge of Status","2022","South Carolina","45","18,252","NA","84.2 (80.0 - 88.9, 2.7)"
"HIV viral suppression","2022","South Carolina","45","11,398","NA","64.2"
"HIV prevalence","2022","South Carolina","45","18,289","407.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","South Carolina","45","21,700 (20,500 - 22,800, 2.7)","481.2 (455.8 - 506.5)","NA"
"Estimated HIV incidence","2022","South Carolina","45","690 (280 - 1,100, 30.6*)","15.4 (6.1 - 24.6)","NA"
"AIDS prevalence","2022","South Carolina","45","9,365","208.5","NA"
"AIDS classifications","2022","South Carolina","45","364","8.1","NA"
"AIDS deaths","2022","South Carolina","45","297","6.6","NA"
"HIV deaths","2022","South Carolina","45","411","9.2","NA"
"HIV diagnoses","2022","South Carolina","45","722","16.1","NA"
"Linkage to HIV medical care","2022","South Carolina","45","560","NA","78.1"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2022","South Dakota","46","910 (750 - 1,100, 12.4)","121.0 (99.8 - 150.4)","NA"
